original_index,text,word_count,syllable_count,syllables_per_word,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,coleman_liau,ari,dale_chall
100807,They found that the administered,5,8,1.6,66.4,5.24,10.0,10.76,7.45,7.04
100808,This study will test a,5,6,1.2,100.24,0.52,2.0,-0.84,-1.97,0.25
100809,We needed to create that,5,7,1.4,83.32,2.88,2.0,1.48,-0.09,10.2
100810,A new study from University,5,10,2.0,32.56,9.96,10.0,4.96,2.74,7.04
100811,New results show Kidney BEAM,5,7,1.4,83.32,2.88,2.0,6.12,3.68,10.2
100812,As chiropractors,2,5,2.5,-6.69,14.69,20.8,12.9,14.9,11.63
100813,The numbers paint a troubling,5,8,1.6,66.4,5.24,10.0,7.28,4.62,10.2
100814,Osteoarthritis incidence is climbing across,5,14,2.8,-35.12,19.4,18.0,23.52,17.81,13.36
100815,The attributable proportion of OA,5,11,2.2,15.64,12.32,18.0,11.92,8.39,13.36
100816,Sixty percent of OA patients,5,8,1.6,66.4,5.24,2.0,6.12,3.68,13.36
100817,Consequently,1,4,4.0,-132.58,32.0,40.4,24.2,35.59,19.48
100818,We identified a total of,5,9,1.8,49.48,7.6,10.0,1.48,-0.09,10.2
100819,Experimental and clinical studies suggest,5,13,2.6,-18.2,17.04,18.0,21.2,15.92,16.52
100820,Nanotechnology-enabled delivery can address,4,15,3.75,-114.47,30.22,21.6,33.35,27.67,11.73
100821,Moreover,1,3,3.0,-47.98,20.2,40.4,1.0,16.75,19.48
100822,To reduce the OA burden,5,7,1.4,83.32,2.88,2.0,0.32,-1.03,13.36
100823,Looking forward,2,4,2.0,35.61,8.79,0.8,10.0,12.54,11.63
100824,OA in older adults is,5,7,1.4,83.32,2.88,2.0,-2.0,-2.92,13.36
100825,Data from the 2021 Global,5,7,1.4,83.32,2.88,2.0,2.64,0.85,13.36
100826,Emerging therapeutic strategies are discussed,5,13,2.6,-18.2,17.04,26.0,25.84,19.69,16.52
100827,Digital bladder diary applications improve,5,14,2.8,-35.12,19.4,26.0,22.36,16.87,16.52
100828,Urodynamics is the science of,5,7,1.4,83.32,2.88,2.0,7.28,4.62,10.2
100829,New Abdominal Sensor Enables Wireless,5,12,2.4,-1.28,14.68,18.0,16.56,12.16,16.52
100830,Leveraging foundational technology generated from,5,16,3.2,-68.96,24.12,34.0,30.48,23.46,16.52
100831,In 2025,2,2,1.0,120.21,-3.01,0.8,-13.2,-6.3,11.63
100832,Learn more about Altaviva,4,5,1.25,97.03,0.72,1.6,8.7,6.48,7.78
100833,The tibial nerve travels up,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100834,Altaviva differs from standard tibial,5,8,1.6,66.4,5.24,2.0,16.56,12.16,16.52
100835,The session reinforced that effective,5,10,2.0,32.56,9.96,18.0,16.56,12.16,13.36
100836,>65% of moderate-to,3,6,2.0,34.59,9.18,14.53,1.4,6.76,14.31
100837,Study methodologies differed considerably,4,14,3.5,-93.32,27.27,21.6,31.9,25.31,15.68
100838,If you have Crohn's,4,4,1.0,118.18,-2.23,1.6,-1.45,-0.59,7.78
100839,For example,2,4,2.0,35.61,8.79,20.8,-1.6,3.12,11.63
100841,While only a medical provider,5,10,2.0,32.56,9.96,18.0,7.28,4.62,10.2
100843,Without sufficient iodine,3,8,2.667,-21.81,17.05,27.87,18.8,16.18,14.31
100844,Get Enough Iodine,3,6,2.0,34.59,9.18,14.53,3.33,3.62,9.05
100845,Instead,1,2,2.0,36.62,8.4,0.4,-4.8,12.04,0.05
100847,Iodine is also essential to,5,10,2.0,32.56,9.96,18.0,4.96,2.74,10.2
100848,✔️ Do:,1,1,1.0,121.22,-3.4,0.4,-33.8,-9.15,0.05
100849,Incorporate iodine-rich foods like,4,8,2.0,33.58,9.57,11.6,20.3,17.07,15.68
100850,Too much iodine can cause,5,7,1.4,83.32,2.88,10.0,2.64,0.85,7.04
100851,Found in Brazil nuts,4,5,1.25,97.03,0.72,1.6,1.45,0.59,11.73
100852,You can find selenium in,5,8,1.6,66.4,5.24,10.0,1.48,-0.09,7.04
100854,Smoking: Smoking increases the risk,5,9,1.8,49.48,7.6,10.0,13.08,10.27,16.52
100855,Aim for a balanced exercise,5,8,1.6,66.4,5.24,10.0,4.96,2.74,10.2
100857,You don't need a long routine; short,7,8,1.143,103.04,0.63,2.8,3.17,2.26,6.24
100858,Stay active: Exercise helps your,5,8,1.6,66.4,5.24,10.0,9.6,7.45,13.36
100859,Environmental toxins,2,7,3.5,-91.29,26.49,20.8,24.5,24.31,19.53
100860,On the other hand,4,5,1.25,97.03,0.72,1.6,-2.9,-2.95,0.2
100861,Family History: A family history,5,13,2.6,-18.2,17.04,2.0,9.6,7.45,0.25
100862,These symptoms must last for,5,6,1.2,100.24,0.52,2.0,6.12,3.68,7.04
100863,Overview: treatment and management,4,9,2.25,12.43,12.52,21.6,20.3,17.07,15.68
100864,Post-exertion malaise,2,6,3.0,-48.99,20.59,20.8,24.5,26.67,19.53
100865,This is called postexertional malaise,5,10,2.0,32.56,9.96,10.0,16.56,12.16,13.36
100866,Some examples may include sitting,5,9,1.8,49.48,7.6,10.0,11.92,8.39,10.2
100867,It may help to keep,5,5,1.0,117.16,-1.84,2.0,-4.32,-4.8,0.25
100868,Avoiding prolonged upright posture by,5,10,2.0,32.56,9.96,10.0,16.56,12.16,16.52
100869,These include sticking to a,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100870,Antidepressants can be useful for,5,10,2.0,32.56,9.96,10.0,11.92,8.39,7.04
100871,Good sleep habits are important,5,8,1.6,66.4,5.24,2.0,9.6,6.5,7.04
100872,If ME/CFS gives you,4,4,1.0,118.18,-2.23,1.6,-1.45,-0.59,11.73
100873,Addressing symptoms related to orthostatic,5,13,2.6,-18.2,17.04,26.0,22.36,16.87,16.52
100874,Psychotherapy and supportive counseling to,5,13,2.6,-18.2,17.04,26.0,22.36,16.87,13.36
100875,Vigorous aerobic exercise can benefit,5,13,2.6,-18.2,17.04,34.0,16.56,12.16,16.52
100876,Conclusion: In the first week,5,7,1.4,83.32,2.88,10.0,6.12,4.62,7.04
100877,Viral Sinusitis (Most Common),4,9,2.25,12.43,12.52,11.6,11.6,11.18,15.68
100879,No.,1,1,1.0,121.22,-3.4,0.4,-33.8,-6.8,0.05
100880,Chronic sinus infections are often,5,10,2.0,32.56,9.96,10.0,13.08,9.33,13.36
100881,Both patterns can shift concern,5,7,1.4,83.32,2.88,2.0,9.6,6.5,13.36
100882,Chronic sinusitis causes the spaces,5,11,2.2,15.64,12.32,10.0,14.24,10.27,16.52
100885,In a multiple sclerosis relapse,5,10,2.0,32.56,9.96,18.0,9.6,6.5,13.36
100886,A relapse is defined by,5,7,1.4,83.32,2.88,2.0,0.32,-1.03,10.2
100887,This damage disrupts the signals,5,8,1.6,66.4,5.24,2.0,10.76,7.45,10.2
100888,When a person has multiple,5,8,1.6,66.4,5.24,10.0,3.8,1.79,7.04
100889,With relapsing MS,3,5,1.667,62.79,5.25,14.53,3.33,3.62,14.31
100890,MS relapses are caused when,5,7,1.4,83.32,2.88,10.0,4.96,2.74,13.36
100891,What Causes Flare-Ups?,3,4,1.333,90.99,1.31,1.2,9.13,11.47,14.31
100892,Difficulty or urgency using the,5,11,2.2,15.64,12.32,18.0,9.6,6.5,13.36
100895,That can lead to more,5,5,1.0,117.16,-1.84,2.0,-2.0,-2.92,0.25
100896,Common fluctuation triggers include:,4,10,2.5,-8.72,15.47,11.6,23.2,19.43,19.62
100897,A bout of cold or,5,5,1.0,117.16,-1.84,2.0,-6.64,-6.68,7.04
100899,When the immune system breaks,5,7,1.4,83.32,2.88,2.0,7.28,4.62,13.36
100900,Severe relapses can cause symptoms,5,9,1.8,49.48,7.6,10.0,13.08,9.33,13.36
100901,When the myelin is damaged,5,8,1.6,66.4,5.24,10.0,3.8,1.79,10.2
100902,According to a CDC report,5,10,2.0,32.56,9.96,18.0,2.64,0.85,10.2
100903,Pollutants can irritate the lungs,5,9,1.8,49.48,7.6,18.0,11.92,8.39,13.36
100905,Our results confirm earlier data,5,11,2.2,15.64,12.32,10.0,10.76,7.45,16.52
100908,If your asthma is triggered,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100909,Avoid fragrance sprays: Fragrance sprays,5,8,1.6,66.4,5.24,2.0,18.88,14.98,19.67
100910,Laughing or crying too hard,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100911,Allergies:Asthma is usually a,4,9,2.25,12.43,12.52,21.6,13.05,11.18,11.73
100912,Respiratory Infections,2,8,4.0,-133.59,32.39,40.8,30.3,29.02,19.53
100913,Walking,1,2,2.0,36.62,8.4,0.4,-4.8,12.04,19.48
100914,You can get asthma from,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,7.04
100915,By taking preventive medications exactly,5,13,2.6,-18.2,17.04,26.0,20.04,14.98,13.36
100916,What should I do during,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,0.25
100917,Venous thromboembolism (VTE) refers to,5,10,2.0,32.56,9.96,10.0,15.4,13.1,16.52
100918,Introduction,1,4,4.0,-132.58,32.0,40.4,24.2,35.59,19.48
100919,Sharp chest pain that gets,5,5,1.0,117.16,-1.84,2.0,3.8,1.79,7.04
100921,What are the Long Term,5,5,1.0,117.16,-1.84,2.0,-0.84,-1.97,0.25
100922,PTS is a collection of,5,7,1.4,83.32,2.88,10.0,-0.84,-1.97,10.2
100923,The veins in your legs,5,5,1.0,117.16,-1.84,2.0,-0.84,-1.97,10.2
100924,What are the signs of,5,5,1.0,117.16,-1.84,2.0,-2.0,-2.92,7.04
100926,Finally,1,3,3.0,-47.98,20.2,0.4,-4.8,12.04,0.05
100927,Symptoms include leg pain,4,6,1.5,75.88,3.67,1.6,8.7,6.48,11.73
100929,Symptoms include leg swelling,4,7,1.75,54.73,6.62,1.6,14.5,11.18,15.68
100930,Elevation of the extremity above,5,12,2.4,-1.28,14.68,18.0,10.76,7.45,10.2
100931,Age.,1,1,1.0,121.22,-3.4,0.4,-28.0,-2.09,0.05
100932,New treatments for fibromyalgia in,5,8,1.6,66.4,5.24,10.0,13.08,9.33,10.2
100933,Activation of microglial cells in,5,10,2.0,32.56,9.96,18.0,11.92,8.39,13.36
100934,The Rise of Personalized CBD,5,8,1.6,66.4,5.24,10.0,6.12,3.68,10.2
100935,Nanotechnology,1,6,6.0,-301.78,55.6,40.4,35.8,45.01,19.48
100936,Managing glaucoma is often a,5,10,2.0,32.56,9.96,18.0,6.12,3.68,10.2
100937,Drinking water throughout the day and maintaining healthy blood circulation,10,19,1.9,35.95,10.73,12.0,19.52,14.66,10.45
100938,One of the most important,5,7,1.4,83.32,2.88,2.0,2.64,0.85,0.25
100939,One of the most important steps in managing glaucoma is,10,16,1.6,61.33,7.19,12.0,7.92,5.24,8.87
100940,Because we know that kidney,5,7,1.4,83.32,2.88,2.0,4.96,2.74,7.04
100941,But when there is too,5,5,1.0,117.16,-1.84,2.0,-2.0,-2.92,0.25
100943,Kidney stones often have no,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100944,A kidney stone can form,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,7.04
100946,Kidney stones are hard lumps,5,6,1.2,100.24,0.52,2.0,6.12,3.68,13.36
100947,Calcium phosphate stones: Calcium phosphate,5,11,2.2,15.64,12.32,18.0,22.36,17.81,19.67
100948,More common in women,4,6,1.5,75.88,3.67,1.6,1.45,0.59,7.78
100949,These stones form in people,5,6,1.2,100.24,0.52,2.0,4.96,2.74,7.04
100950,Sometimes,1,2,2.0,36.62,8.4,0.4,6.8,21.46,0.05
100952,sharp pains in your back,5,5,1.0,117.16,-1.84,2.0,1.48,-0.09,7.04
100953,Intense pain in the side,5,6,1.2,100.24,0.52,2.0,1.48,-0.09,7.04
100954,Pink,1,1,1.0,121.22,-3.4,0.4,-22.2,-2.09,0.05
100955,Eating too much salt or,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,7.04
100956,Family history: A family history,5,13,2.6,-18.2,17.04,2.0,9.6,7.45,0.25
100957,Approximately 12 to 14 percent,5,10,2.0,32.56,9.96,10.0,8.44,5.56,16.52
100958,It is inexpensive (about $1,5,9,1.8,49.48,7.6,10.0,2.64,2.74,10.2
100959,Mean ambulatory ICT costs were,5,9,1.8,49.48,7.6,10.0,8.44,5.56,13.36
100960,Potential Complications of Untreated Lupus,5,13,2.6,-18.2,17.04,26.0,22.36,16.87,16.52
100961,Their five-year survival rate,4,6,1.5,75.88,3.67,11.6,13.05,11.18,11.73
100962,Survival rates have gone from,5,7,1.4,83.32,2.88,10.0,7.28,4.62,10.2
100964,Kidney damage: The most common,5,8,1.6,66.4,5.24,2.0,7.28,5.56,10.2
100965,The inflammation caused by the,5,8,1.6,66.4,5.24,10.0,8.44,5.56,10.2
100966,Delayed diagnosis and misdiagnosis of SLE can also contribute to,10,21,2.1,19.03,13.09,16.0,13.14,9.48,12.03
100967,Having lupus raises your risk,5,8,1.6,66.4,5.24,2.0,7.28,4.62,13.36
100968,Fingers and toes that turn,5,6,1.2,100.24,0.52,2.0,3.8,1.79,10.2
100969,Kidneys.,1,2,2.0,36.62,8.4,0.4,-4.8,16.75,19.48
100970,Many people with lupus have,5,8,1.6,66.4,5.24,2.0,4.96,2.74,7.04
100972,This can cause tiny breaks,5,6,1.2,100.24,0.52,2.0,3.8,1.79,7.04
100974,Systemic lupus erythematosus (SLE),4,9,2.25,12.43,12.52,21.6,18.85,17.07,19.62
100975,Scarring alopecia (hair loss),4,7,1.75,54.73,6.62,11.6,11.6,11.18,11.73
100976,Confusion,1,3,3.0,-47.98,20.2,40.4,6.8,21.46,19.48
100978,About 30% of them will,5,6,1.2,100.24,0.52,2.0,-2.0,-1.97,7.04
100979,As soon as any type,5,6,1.2,100.24,0.52,2.0,-4.32,-4.8,7.04
100980,People with nail involvement in,5,8,1.6,66.4,5.24,10.0,9.6,6.5,7.04
100981,However,1,3,3.0,-47.98,20.2,0.4,-4.8,12.04,0.05
100982,For those with overweight or,5,7,1.4,83.32,2.88,10.0,6.12,3.68,7.04
100983,Psoriatic arthritis and a healthy,5,10,2.0,32.56,9.96,18.0,11.92,8.39,10.2
100984,Instead of feeding the flames,5,7,1.4,83.32,2.88,2.0,7.28,4.62,10.2
100985,A 2020 study found that,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,7.04
100986,We work with you to,5,5,1.0,117.16,-1.84,2.0,-4.32,-4.8,0.25
100987,If you have dermatitis or,5,6,1.2,100.24,0.52,2.0,2.64,0.85,7.04
100988,It's also a good idea,5,8,1.6,66.4,5.24,2.0,-3.16,-2.92,0.25
100989,The greatest risk of developing,5,9,1.8,49.48,7.6,10.0,9.6,6.5,13.36
100990,Psoriatic arthritis can start at,5,9,1.8,49.48,7.6,18.0,10.76,7.45,10.2
100991,Back pain with PsA may,5,5,1.0,117.16,-1.84,2.0,-0.84,-1.97,7.04
100992,Fatigue,1,2,2.0,36.62,8.4,0.4,-4.8,12.04,19.48
100993,Foot pain caused by swelling,5,6,1.2,100.24,0.52,2.0,6.12,3.68,10.2
100994,“This moment holds extraordinary promise,5,11,2.2,15.64,12.32,10.0,18.88,14.98,10.2
100995,CHICAGO,1,3,3.0,-47.98,20.2,40.4,-4.8,12.04,19.48
100996,Now,1,1,1.0,121.22,-3.4,0.4,-28.0,-6.8,0.05
100997,Studies are also examining ways,5,10,2.0,32.56,9.96,10.0,9.6,6.5,13.36
100998,However,1,3,3.0,-47.98,20.2,0.4,-4.8,12.04,0.05
100999,Total payments in 2026 for,5,7,1.4,83.32,2.88,2.0,3.8,1.79,13.36
101000,However,1,3,3.0,-47.98,20.2,0.4,-4.8,12.04,0.05
101001,The at-home option is,4,5,1.25,97.03,0.72,1.6,1.45,1.77,11.73
101002,New England Journal of Medicine: “Abelacimab for Prevention of Venous,10,18,1.8,44.41,9.55,8.0,14.88,11.83,12.03
101003,The article proposes that by,5,9,1.8,49.48,7.6,18.0,6.12,3.68,10.2
101004,Statins are commonly prescribed to,5,9,1.8,49.48,7.6,10.0,13.08,9.33,13.36
101005,These results suggest that machine,5,8,1.6,66.4,5.24,2.0,13.08,9.33,10.2
101006,The next-generation devices are,4,11,2.75,-29.87,18.42,21.6,15.95,13.54,11.73
101007,Nanomedicine approaches are being explored,5,10,2.0,32.56,9.96,10.0,22.36,16.87,13.36
101008,Researchers also hope to come,5,8,1.6,66.4,5.24,10.0,7.28,4.62,7.04
101009,The anterior cruciate ligament (ACL,5,12,2.4,-1.28,14.68,26.0,13.08,10.27,16.52
101010,It is for this reason,5,6,1.2,100.24,0.52,2.0,-2.0,-2.92,0.25
101011,In 1875,2,2,1.0,120.21,-3.01,0.8,-13.2,-6.3,11.63
101012,Fifty years after the conservative,5,10,2.0,32.56,9.96,10.0,13.08,9.33,10.2
101013,In 1917 Ernest William Hey,5,7,1.4,83.32,2.88,2.0,3.8,1.79,13.36
101014,With the advent of arthroscopy,5,8,1.6,66.4,5.24,10.0,8.44,5.56,10.2
101015,Campbell (1936) described the triad,5,8,1.6,66.4,5.24,2.0,11.92,10.27,16.52
101016,These reparative and reconstructive techniques,5,12,2.4,-1.28,14.68,18.0,27.0,20.63,13.36
101017,Epidemiology,1,7,7.0,-386.38,67.4,40.4,24.2,35.59,19.48
101018,“In the past,3,3,1.0,119.19,-2.62,1.2,-8.27,-4.23,0.15
101019,By implementing these preventive measures,5,11,2.2,15.64,12.32,18.0,21.2,15.92,13.36
101020,Diverticulitis occurs when the pouches,5,11,2.2,15.64,12.32,10.0,17.72,13.1,13.36
101021,A high-fiber diet keeps,4,6,1.5,75.88,3.67,1.6,4.35,4.12,15.68
101022,Whole grains,2,2,1.0,120.21,-3.01,0.8,1.3,5.48,11.63
101023,Have about 1 to 2,5,6,1.2,100.24,0.52,2.0,-6.64,-6.68,10.2
101024,Eat more fiber by adding,5,7,1.4,83.32,2.88,2.0,1.48,-0.09,10.2
101025,During this transition to a,5,8,1.6,66.4,5.24,10.0,4.96,2.74,7.04
101026,“The number of ounces I,5,7,1.4,83.32,2.88,2.0,-0.84,-1.03,7.04
101027,For example,2,4,2.0,35.61,8.79,20.8,-1.6,3.12,11.63
101028,Studies have found individuals whose,5,10,2.0,32.56,9.96,10.0,15.4,11.21,10.2
101029,Add nuts and seeds to,5,5,1.0,117.16,-1.84,2.0,-2.0,-2.92,10.2
101030,In the past,3,3,1.0,119.19,-2.62,1.2,-8.27,-5.8,0.15
101031,Stay away from nuts and,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,7.04
101032,Osteoarthritis and rheumatoid arthritis,4,13,3.25,-72.17,24.32,31.6,29.0,22.96,15.68
101033,If you are overweight or,5,7,1.4,83.32,2.88,10.0,1.48,-0.09,7.04
101034,The management of body weight,5,8,1.6,66.4,5.24,10.0,7.28,4.62,10.2
101035,Exercise for joint pain relief,5,8,1.6,66.4,5.24,10.0,8.44,5.56,13.36
101036,EVIDENCE: Proven to be helpful,5,9,1.8,49.48,7.6,10.0,7.28,5.56,10.2
101037,Braces,1,2,2.0,36.62,8.4,0.4,-10.6,7.33,19.48
101039,If osteoarthritis has damaged one,5,11,2.2,15.64,12.32,10.0,11.92,8.39,10.2
101040,Joint replacement,2,4,2.0,35.61,8.79,20.8,15.8,17.25,19.53
101041,While it's natural to worry,5,8,1.6,66.4,5.24,10.0,3.8,2.74,7.04
101042,Getting an official diagnosis is,5,11,2.2,15.64,12.32,18.0,10.76,7.45,10.2
101043,Age at intervention can impact,5,9,1.8,49.48,7.6,10.0,8.44,5.56,10.2
101044,Educational accommodations are also crucial,5,15,3.0,-52.04,21.76,18.0,23.52,17.81,13.36
101045,NaughtyLittleDogs,1,3,3.0,-47.98,20.2,40.4,53.2,59.14,19.48
