query,category,intent,expected_answer_type
how does garbage collection work in programming,tech,informational,explanation
what is a large language model,tech,informational,explanation
how does HTTPS encryption work,tech,informational,explanation
what is serverless computing,tech,informational,explanation
best practices for database indexing,tech,informational,list
what is the difference between monolith and microservices,tech,informational,comparison
how does React state management work,tech,informational,explanation
what is CI/CD pipeline,tech,informational,explanation
how does rate limiting work in APIs,tech,informational,explanation
what is the difference between SQL JOIN types,tech,informational,comparison
how does OAuth 2.0 work,tech,informational,explanation
what is WebAssembly,tech,informational,explanation
how does browser rendering work,tech,informational,explanation
what is the difference between stack and heap memory,tech,informational,comparison
how does a hash table work,tech,informational,explanation
best practices for web security,tech,informational,list
what is TypeScript and why use it,tech,informational,explanation
how does Redis caching work,tech,informational,explanation
what is the difference between SSD and HDD,tech,informational,comparison
how does load balancing work,tech,informational,explanation
what is machine learning overfitting,tech,informational,explanation
how does term life insurance work,finance,informational,explanation
what is dollar cost averaging,finance,informational,explanation
how to calculate net worth,finance,instructional,steps
what is the difference between stocks and bonds,finance,informational,comparison
how does index fund investing work,finance,informational,explanation
what is a good debt-to-income ratio,finance,informational,estimate
how to pay off student loans faster,finance,instructional,steps
what is a home equity loan vs HELOC,finance,informational,comparison
how does capital gains tax work,finance,informational,explanation
what is the difference between chapter 7 and chapter 13 bankruptcy,finance,informational,comparison
how does a health savings account work,finance,informational,explanation
what is an ETF and how does it work,finance,informational,explanation
how to save for retirement in your 30s,finance,instructional,steps
what is private mortgage insurance,finance,informational,explanation
how does a balance transfer work,finance,informational,explanation
what is the 4 percent rule for retirement,finance,informational,explanation
how to invest in real estate with little money,finance,instructional,steps
what is an adjustable rate mortgage,finance,informational,explanation
how does margin trading work,finance,informational,explanation
what are tax deductions vs tax credits,finance,informational,comparison
how to create a debt snowball plan,finance,instructional,steps
what is a fiduciary financial advisor,finance,informational,explanation
how does options trading work,finance,informational,explanation
what is the difference between gross and net income,finance,informational,comparison
how to negotiate a lower interest rate on credit card,finance,instructional,steps
what is a target date fund,finance,informational,explanation
how does Social Security work,finance,informational,explanation
what causes stock market crashes,finance,informational,explanation
how to build wealth in your 20s,finance,instructional,steps
what is a dividend reinvestment plan,finance,informational,explanation
how does real estate appreciation work,finance,informational,explanation
what is the difference between active and passive investing,finance,informational,comparison
how to file taxes for the first time,finance,instructional,steps
what is umbrella insurance,finance,informational,explanation
how does peer to peer lending work,finance,informational,explanation
how to ask for a promotion,career,instructional,steps
what is emotional intelligence in the workplace,career,informational,explanation
how to deal with a difficult coworker,career,instructional,steps
what are the best remote work jobs,career,informational,list
how to transition careers without experience,career,instructional,steps
what is the difference between hard skills and soft skills,career,informational,comparison
how to build a personal brand on LinkedIn,career,instructional,steps
what is a performance improvement plan,career,informational,explanation
how to deal with burnout at work,career,instructional,steps
what are the best high paying jobs without a degree,career,informational,list
how to become a project manager,career,instructional,steps
what is the difference between a resume and a CV,career,informational,comparison
how to negotiate a job offer,career,instructional,steps
what is work-life balance and how to achieve it,career,informational,explanation
how to become a UX designer with no experience,career,instructional,steps
what is the best way to find a job in 2024,career,informational,list
how to write a LinkedIn profile summary,career,instructional,steps
what skills do employers look for most,career,informational,list
how to handle a layoff,career,instructional,steps
what is the gig economy and is it worth it,career,informational,explanation
how to become a data scientist,career,instructional,steps
what is upskilling and why does it matter,career,informational,explanation
how to get a job at a top tech company,career,instructional,steps
what makes a good manager,career,informational,list
how to give constructive feedback at work,career,instructional,steps
what is a side hustle and how to start one,career,informational,explanation
how to become a freelancer,career,instructional,steps
best certifications for career advancement in tech,career,informational,list
how to build confidence at work,career,instructional,steps
what is organizational culture,career,informational,explanation
how to network when you are introverted,career,instructional,steps
what are the benefits of mentorship,career,informational,list
how to create a 5-year career plan,career,instructional,steps
what is the difference between leadership and management,career,informational,comparison
how to improve time management skills,career,instructional,steps
what is professional development,career,informational,explanation
how to ace a technical interview,career,instructional,steps
best places to visit in Europe on a budget,travel,informational,list
how to travel cheaply around the world,travel,instructional,steps
what is travel hacking with credit card points,travel,informational,explanation
best travel insurance companies,travel,informational,list
how to avoid jet lag,travel,instructional,steps
what documents do you need to travel internationally,travel,informational,list
best countries for digital nomads,travel,informational,list
how to stay safe when traveling alone,travel,instructional,steps
what is the difference between visa types,travel,informational,comparison
best carry on luggage for frequent flyers,travel,informational,list
how to find cheap flights,travel,instructional,steps
what to do if your passport is stolen abroad,travel,instructional,steps
best time to visit Japan,travel,informational,estimate
how does travel rewards credit card work,travel,informational,explanation
what vaccinations do you need for international travel,travel,informational,list
best apps for traveling internationally,travel,informational,list
how to pack light for a long trip,travel,instructional,steps
what is slow travel,travel,informational,explanation
best countries to retire abroad,travel,informational,list
how to travel with dietary restrictions,travel,instructional,steps
what is a travel itinerary and how to plan one,travel,instructional,steps
best way to exchange currency when traveling,travel,informational,explanation
how to travel solo safely as a woman,travel,instructional,steps
what are the most underrated travel destinations,travel,informational,list
how to get global entry and TSA precheck,travel,instructional,steps
how to make sourdough bread from scratch,food,instructional,steps
what is the difference between baking soda and baking powder,food,informational,comparison
best meal prep ideas for the week,food,informational,list
how to season a cast iron skillet,food,instructional,steps
what is the difference between vegan and plant-based diet,food,informational,comparison
how long does cooked chicken last in the fridge,food,informational,estimate
best high protein meals for muscle building,food,informational,list
how to make homemade pasta,food,instructional,steps
what are the healthiest cooking oils,food,informational,list
how to reduce food waste at home,food,instructional,steps
what is the difference between stock and broth,food,informational,comparison
best fermented foods for gut health,food,informational,list
how to meal prep for a week on a budget,food,instructional,steps
what is the glycemic index of foods,food,informational,explanation
how to read a food nutrition label,food,instructional,steps
what are the best anti-inflammatory foods,food,informational,list
how to make cold brew coffee at home,food,instructional,steps
what is the carnivore diet,food,informational,explanation
best foods to eat before a workout,food,informational,list
how does food coloring affect children,food,informational,explanation
what are superfoods and are they real,food,informational,explanation
how to preserve food without refrigeration,food,instructional,steps
best meal delivery kits comparison,food,informational,comparison
what is intuitive eating,food,informational,explanation
how to build a healthy plate according to nutritionists,food,instructional,steps
what is the difference between a will and a trust,legal,informational,comparison
how to write a last will and testament,legal,instructional,steps
what is power of attorney and how does it work,legal,informational,explanation
how to dispute a medical bill,legal,instructional,steps
what are tenant rights when renting,legal,informational,list
how does small claims court work,legal,informational,explanation
what is the difference between civil and criminal law,legal,informational,comparison
how to file a complaint against a company,legal,instructional,steps
what is fair use in copyright law,legal,informational,explanation
how to protect your intellectual property,legal,instructional,steps
what rights do employees have in the workplace,legal,informational,list
how does the probate process work,legal,informational,explanation
what is an LLC and how to form one,legal,informational,explanation
how to sue someone in small claims court,legal,instructional,steps
what is GDPR and who does it apply to,legal,informational,explanation
how to get out of a contract legally,legal,instructional,steps
what is defamation and how to prove it,legal,informational,explanation
how does workers compensation work,legal,informational,explanation
what are your rights if you are arrested,legal,informational,list
how to trademark a business name,legal,instructional,steps
what is the difference between a misdemeanor and a felony,legal,informational,comparison
how does medical malpractice work,legal,informational,explanation
what is a non-disclosure agreement,legal,informational,explanation
how to dispute a credit report error,legal,instructional,steps
what is the statute of limitations,legal,informational,explanation
how to build muscle as a beginner,fitness,instructional,steps
what is progressive overload in weightlifting,fitness,informational,explanation
best workout routine for weight loss,fitness,informational,list
how many calories should I eat to lose weight,fitness,informational,estimate
what is the difference between cardio and HIIT,fitness,informational,comparison
how to improve running endurance,fitness,instructional,steps
best supplements for muscle growth,fitness,informational,list
how to stretch properly before and after exercise,fitness,instructional,steps
what is the best time of day to work out,fitness,informational,explanation
how does protein synthesis work in muscles,fitness,informational,explanation
what is the difference between free weights and machines,fitness,informational,comparison
how to train for a marathon as a beginner,fitness,instructional,steps
best home workout equipment on a budget,fitness,informational,list
how to fix bad posture from sitting,fitness,instructional,steps
what causes delayed onset muscle soreness,fitness,informational,explanation
how to create a workout schedule,fitness,instructional,steps
best exercises for lower back pain,fitness,informational,list
how to lose belly fat effectively,fitness,instructional,steps
what is a caloric deficit and how to calculate it,fitness,informational,explanation
how to improve flexibility and mobility,fitness,instructional,steps
what is the best exercise for mental health,fitness,informational,explanation
how does zone 2 cardio training work,fitness,informational,explanation
best exercises for core strength,fitness,informational,list
how to recover from overtraining,fitness,instructional,steps
what is the difference between aerobic and anaerobic exercise,fitness,informational,comparison
how to handle a toddler meltdown,parenting,instructional,steps
what is gentle parenting,parenting,informational,explanation
best books for new parents,parenting,informational,list
how much screen time is too much for kids,parenting,informational,estimate
what is the difference between authoritative and authoritarian parenting,parenting,informational,comparison
how to talk to kids about death,parenting,instructional,steps
what age should kids start learning to read,parenting,informational,estimate
how to raise financially responsible children,parenting,instructional,steps
best ways to discipline a child without yelling,parenting,informational,list
how to help a child with anxiety,parenting,instructional,steps
what is helicopter parenting and its effects,parenting,informational,explanation
how to encourage a growth mindset in children,parenting,instructional,steps
what are the stages of child development,parenting,informational,list
how to talk to teens about social media,parenting,instructional,steps
what are signs of ADHD in children,parenting,informational,list
how to co-parent effectively after divorce,parenting,instructional,steps
what is attachment theory in child development,parenting,informational,explanation
how to prepare a child for a new sibling,parenting,instructional,steps
best educational apps for kids,parenting,informational,list
how to stop a child from lying,parenting,instructional,steps
what caused the fall of the Roman Empire,history,informational,explanation
how did World War 1 start,history,informational,explanation
what was the significance of the printing press,history,informational,explanation
how did the Cold War end,history,informational,explanation
what caused the Great Depression,history,informational,explanation
what was the Manhattan Project,history,informational,explanation
how did the civil rights movement change America,history,informational,explanation
what was the significance of the Magna Carta,history,informational,explanation
how did the Industrial Revolution change society,history,informational,explanation
what caused World War 2,history,informational,explanation
how did the internet change the world,history,informational,explanation
what was the Berlin Wall and why was it built,history,informational,explanation
how did colonialism shape the modern world,history,informational,explanation
what was the significance of the moon landing,history,informational,explanation
how did the French Revolution start,history,informational,explanation
what is the history of the United Nations,history,informational,explanation
how did the Black Death change Europe,history,informational,explanation
what was the significance of the Treaty of Versailles,history,informational,explanation
how did slavery shape the American economy,history,informational,explanation
what was the space race about,history,informational,explanation
how does quantum entanglement work,science,informational,explanation
what is the difference between nuclear fission and fusion,science,informational,comparison
how does evolution work,science,informational,explanation
what is dark matter,science,informational,explanation
how does vaccination work,science,informational,explanation
what is epigenetics,science,informational,explanation
how does the gut-brain axis work,science,informational,explanation
what is the theory of relativity explained simply,science,informational,explanation
how does mRNA vaccine technology work,science,informational,explanation
what is antibiotic resistance,science,informational,explanation
how did the universe begin,science,informational,explanation
what is neuroplasticity,science,informational,explanation
how does the carbon cycle work,science,informational,explanation
what is the difference between GMO and hybrid crops,science,informational,comparison
how does the human genome work,science,informational,explanation
how to study effectively for exams,education,instructional,steps
what is the difference between a PhD and a professional doctorate,education,informational,comparison
how does student loan forgiveness work,education,informational,explanation
best online learning platforms comparison,education,informational,comparison
how to speed read effectively,education,instructional,steps
what is the Socratic method of teaching,education,informational,explanation
how to memorize things quickly,education,instructional,steps
what is project-based learning,education,informational,explanation
how to choose a college major,education,instructional,steps
what are the best MOOCs for data science,education,informational,list
how does the US education system compare to other countries,education,informational,comparison
what is the difference between associate and bachelor degree,education,informational,comparison
how to pay for college without student loans,education,instructional,steps
what is the Feynman technique for learning,education,informational,explanation
how to get scholarships for college,education,instructional,steps
what is experiential learning,education,informational,explanation
what is quantitative easing,economics,informational,explanation
how does the European Central Bank work,economics,informational,explanation
what is GDP and how is it calculated,economics,informational,explanation
what causes stagflation,economics,informational,explanation
how does monetary policy affect inflation,economics,informational,explanation
what is the difference between fiscal and monetary policy,economics,informational,comparison
how does international trade work,economics,informational,explanation
what is a trade deficit,economics,informational,explanation
how does the minimum wage affect the economy,economics,informational,explanation
what is game theory in economics,economics,informational,explanation
how does universal basic income work,economics,informational,explanation
what is the Laffer curve,economics,informational,explanation
how do tariffs work,economics,informational,explanation
what is venture capital and how does it work,economics,informational,explanation
how does the debt ceiling work,economics,informational,explanation
how to validate a business idea,business,instructional,steps
what is a competitive analysis,business,informational,explanation
how does venture capital funding work,business,informational,explanation
what is the difference between B2B and B2C,business,informational,comparison
how to create a minimum viable product,business,instructional,steps
what is a SWOT analysis,business,informational,explanation
how to scale a small business,business,instructional,steps
what is product market fit,business,informational,explanation
how does a franchise model work,business,informational,explanation
what is the difference between sole proprietorship and LLC,business,informational,comparison
how to create a pricing strategy,business,instructional,steps
what is a pitch deck and what should it include,business,informational,list
how to build a SaaS business,business,instructional,steps
what is an exit strategy in business,business,informational,explanation
how to measure business success with KPIs,business,informational,explanation
what is the difference between revenue and profit,business,informational,comparison
how does email marketing work,marketing,informational,explanation
what is the difference between SEO and SEM,marketing,informational,comparison
how to build an email list from scratch,marketing,instructional,steps
what is conversion rate optimization,marketing,informational,explanation
how does programmatic advertising work,marketing,informational,explanation
what is influencer marketing,marketing,informational,explanation
how to create a social media strategy,marketing,instructional,steps
what is a marketing funnel,marketing,informational,explanation
how does Google Ads work,marketing,informational,explanation
what is the difference between organic and paid social media,marketing,informational,comparison
how to measure marketing ROI,marketing,instructional,steps
what is affiliate marketing,marketing,informational,explanation
how to do keyword research for SEO,marketing,instructional,steps
what is brand positioning,marketing,informational,explanation
how does remarketing work,marketing,informational,explanation
what is the difference between a landing page and homepage,marketing,informational,comparison
what is cognitive behavioral therapy,psychology,informational,explanation
how does classical conditioning work,psychology,informational,explanation
what are the stages of grief,psychology,informational,list
how does confirmation bias work,psychology,informational,explanation
what is the difference between psychologist and psychiatrist,psychology,informational,comparison
how does trauma affect the brain,psychology,informational,explanation
what is attachment theory,psychology,informational,explanation
how does social comparison theory work,psychology,informational,explanation
what are the Big 5 personality traits,psychology,informational,list
how does Maslow hierarchy of needs work,psychology,informational,explanation
what is the dunning-kruger effect,psychology,informational,explanation
how does positive reinforcement work,psychology,informational,explanation
what is the difference between anxiety and depression,psychology,informational,comparison
how does therapy help with mental health,psychology,informational,explanation
what is the psychology of motivation,psychology,informational,explanation
how does the placebo effect work,psychology,informational,explanation
what is emotional regulation and how to improve it,psychology,instructional,steps
how does solar energy work,environment,informational,explanation
what is the difference between weather and climate,environment,informational,comparison
how does carbon capture technology work,environment,informational,explanation
what is biodiversity and why does it matter,environment,informational,explanation
how does ocean acidification work,environment,informational,explanation
what is the Paris Agreement,environment,informational,explanation
how does wind energy work,environment,informational,explanation
what are the effects of microplastics on health,environment,informational,list
how to make your home more energy efficient,environment,instructional,steps
what is the circular economy,environment,informational,explanation
how does deforestation affect climate change,environment,informational,explanation
what is environmental justice,environment,informational,explanation
how does electric vehicle adoption affect emissions,environment,informational,explanation
what is greenwashing,environment,informational,explanation
how do coral reefs die,environment,informational,explanation
what is net zero emissions,environment,informational,explanation
how does sustainable agriculture work,environment,informational,explanation
what is the difference between renewable and nonrenewable energy,environment,informational,comparison
how does the US Supreme Court work,politics,informational,explanation
what is gerrymandering,politics,informational,explanation
how does ranked choice voting work,politics,informational,explanation
what is the difference between the House and Senate,politics,informational,comparison
how does NATO work,politics,informational,explanation
what is lobbying and how does it affect politics,politics,informational,explanation
how does a bill become a law in the US,politics,informational,steps
what is universal healthcare and how does it work,politics,informational,explanation
how does the United Nations work,politics,informational,explanation
what is the difference between democracy and republic,politics,informational,comparison
how does the IMF work,politics,informational,explanation
what is campaign finance reform,politics,informational,explanation
how does immigration policy work in the US,politics,informational,explanation
what is the difference between foreign policy and domestic policy,politics,informational,comparison
how does the World Bank work,politics,informational,explanation
what is political polarization,politics,informational,explanation
how do sanctions work in international relations,politics,informational,explanation
what is the difference between left wing and right wing politics,politics,informational,comparison
how to build better habits,lifestyle,instructional,steps
what is minimalism and how to practice it,lifestyle,informational,explanation
how to improve morning routine,lifestyle,instructional,steps
what are the benefits of journaling,lifestyle,informational,list
how to practice mindfulness for beginners,lifestyle,instructional,steps
what is the KonMari method,lifestyle,informational,explanation
how to stop doom scrolling,lifestyle,instructional,steps
best books on self improvement,lifestyle,informational,list
how to create a capsule wardrobe,lifestyle,instructional,steps
what are the benefits of cold showers,lifestyle,informational,list
how to break bad habits,lifestyle,instructional,steps
what is the difference between introversion and shyness,lifestyle,informational,comparison
how to declutter your home,lifestyle,instructional,steps
what are the best personal finance books,lifestyle,informational,list
how to improve focus and concentration,lifestyle,instructional,steps
what is digital minimalism,lifestyle,informational,explanation
how to set boundaries in relationships,lifestyle,instructional,steps
what are the benefits of gratitude practice,lifestyle,informational,list
